device_id,event_id,timestamp,longitude,latitude,city,state,gender,age,group,phone_brand,device_model
-9133246310357795475,13862,2016-05-05 13:17:08,75.870071,22.809233,Indore,MadhyaPradesh,M,21,M22-,Huawei,Y220T
-9131441045912511795,636840,2016-05-02 16:23:22,78.852013,26.622177,Bhind,MadhyaPradesh,M,21,M22-,Huawei,荣耀3C
-9127097437295938933,533469,2016-05-03 20:13:51,78.51075,26.526606,Gohad,MadhyaPradesh,M,23,M23-26,OPPO,R819T
-9111244356991767409,364934,2016-05-05 22:40:20,77.695885,25.504459,Shivapuri,MadhyaPradesh,F,40,F33-42,Xiaomi,红米1S
-9109940732328956919,10181,2016-05-02 11:02:20,75.939499,22.754517,Indore,MadhyaPradesh,M,28,M27-28,Meizu,MX3
-9109251959175988661,11946,2016-05-04 12:03:48,75.912498,22.762486,Indore,MadhyaPradesh,M,22,M22-,vivo,Y22L
-9109035094477065894,292847,2016-05-06 00:05:21,79.984161,23.190969,Jabalpur,MadhyaPradesh,M,32,M32-38,Huawei,荣耀畅玩4C
-9106948688057006710,259477,2016-05-07 18:38:15,80.8722,24.675438,Satna,MadhyaPradesh,M,25,M23-26,Huawei,荣耀3C
-9101700875667072569,34897,2016-05-02 07:09:04,80.853783,24.637367,Satna,MadhyaPradesh,M,29,M29-31,OPPO,R7
-9094978442188953627,11490,2016-05-02 12:47:30,75.88279,22.740358,Indore,MadhyaPradesh,F,20,F23-,Xiaomi,MI 3
-9089271892410348659,380494,2016-05-06 16:53:15,76.715584,25.70159,Sheopur,MadhyaPradesh,F,29,F29-32,Coolpad,ivvi K1 mini
-9089086441056502419,517878,2016-05-05 14:00:29,77.967163,23.911966,Basoda,MadhyaPradesh,M,35,M32-38,Samsung,Galaxy S4
-9086137694774886400,116729,2016-05-02 20:53:52,75.096741,24.108458,Mandsaur,MadhyaPradesh,M,36,M32-38,Samsung,Galaxy S5
-9083859229519121862,44740,2016-05-01 13:48:33,94.13018,25.713789,Kohima,Nagaland,F,30,F29-32,Samsung,Galaxy Note 3
-9083800803990790981,468747,2016-05-07 18:41:01,94.148773,25.725203,Kohima,Nagaland,F,39,F33-42,Xiaomi,V182
-9078072777038987342,29897,2016-05-05 00:31:48,78.801811,26.634104,Bhind,MadhyaPradesh,M,32,M32-38,Meizu,魅蓝NOTE
-9073770491310854217,14242,2016-05-07 13:41:41,75.905571,22.781492,Indore,MadhyaPradesh,M,28,M27-28,Xiaomi,红米
-9071909400948335912,10476,2016-05-03 11:46:54,75.911179,22.803665,Indore,MadhyaPradesh,F,38,F33-42,Samsung,A750
-9062594367925602656,97831,2016-05-06 12:03:24,74.520515,34.318386,Sopur,JammuandKashmir,F,41,F33-42,Xiaomi,红米Note2
-9053421416644954816,13645,2016-05-04 13:41:30,75.924065,22.784781,Indore,MadhyaPradesh,F,28,F27-28,Xiaomi,MI 2
-9051903700674902592,70022,2016-05-05 00:41:51,77.141464,23.281672,Sehore,MadhyaPradesh,F,32,F29-32,Samsung,Galaxy J7
-9043757469549686665,235441,2016-05-06 20:31:40,75.120499,23.406952,Ratlam,MadhyaPradesh,F,35,F33-42,OPPO,R7 Plus
-9040761450703592295,68807,2016-05-06 05:51:16,77.422348,23.254616,Bhopal,MadhyaPradesh,F,24,F24-26,vivo,Y23L
-9029538497254301857,36123,2016-05-01 08:11:14,78.047333,26.557068,Morena,MadhyaPradesh,M,35,M32-38,Samsung,A360t
-9025938663715535616,526186,2016-05-06 20:34:24,74.85704,34.154499,Srinagar,JammuandKashmir,M,31,M29-31,Samsung,Galaxy Note 3
-9024444665390485214,13598,2016-05-04 13:24:15,75.921875,22.760509,Indore,MadhyaPradesh,F,23,F23-,Xiaomi,MI 2S
-9022553177483286445,2878923,2016-05-04 12:39:56,76.351372,23.52573,Shajapur,MadhyaPradesh,F,43,F43+,OPPO,R831S
-9021775490259140764,24567,2016-05-01 20:59:57,78.302948,30.148746,Rishikesh,Uttaranchal,F,29,F29-32,Samsung,Galaxy Core 4G
-9020686338623122213,115792,2016-05-05 20:14:57,83.436844,21.983009,Raigarh,Chhattisgarh,M,20,M22-,OPPO,R831T
-9020422666513516342,1086256,2016-05-05 10:03:06,78.222298,24.293341,BinaEtawa,MadhyaPradesh,M,25,M23-26,Xiaomi,MI 3
-9012186796077200306,14694,2016-05-03 14:33:18,75.914886,22.8186,Indore,MadhyaPradesh,F,20,F23-,Samsung,IdeaTab A2207A-H
-9006521758210672337,12321,2016-05-05 12:15:53,75.877892,22.744493,Indore,MadhyaPradesh,F,43,F43+,Samsung,A708t
-9003480133843186955,42956,2016-05-01 11:58:20,75.148026,23.668474,Jaora,MadhyaPradesh,M,23,M23-26,Huawei,Ascend P7
-8992628397316286012,13615,2016-05-04 13:38:11,75.91124,22.786325,Indore,MadhyaPradesh,M,40,M39+,Xiaomi,MI 2
-8991468952427266816,11122,2016-05-07 10:59:50,75.873833,22.799091,Indore,MadhyaPradesh,F,46,F43+,Xiaomi,红米2
-8990743435728765151,170346,2016-05-05 23:17:17,83.298553,23.152863,Ambikapur,Chhattisgarh,M,24,M23-26,联想 ,9180
-8986495508272901737,2308441,2016-05-01 08:05:54,80.024315,23.259663,Jabalpur,MadhyaPradesh,M,26,M23-26,Huawei,Ascend G700T
-8982953759049187973,671294,2016-05-04 09:12:46,74.884323,34.118923,Srinagar,JammuandKashmir,M,27,M27-28,Samsung,Galaxy Note 3 Lite
-8982366420715998545,11175,2016-05-07 11:38:38,75.924583,22.757816,Indore,MadhyaPradesh,M,24,M23-26,Samsung,P770
-8968055028825254510,67111,2016-05-01 02:48:03,77.373573,24.699821,Guna,MadhyaPradesh,M,27,M27-28,vivo,S7I
-8967537974880890727,42414,2016-05-06 11:39:06,79.631317,22.173834,Seoni,MadhyaPradesh,M,37,M32-38,OPPO,3007
-8966975155366925402,60238,2016-05-01 22:01:23,77.250786,24.477327,Raghogarh,MadhyaPradesh,M,34,M32-38,Samsung,Galaxy Note 3
-8953659000620340796,29110,2016-05-01 00:36:05,76.294594,21.425303,Burhanpur,MadhyaPradesh,F,23,F23-,Samsung,A208t
-8953089540481315696,102832,2016-05-05 19:44:08,74.396553,34.26952,Baramula,JammuandKashmir,F,32,F29-32,Samsung,Galaxy Note Edge
-8948626060723144342,81188,2016-05-03 12:32:09,81.420174,21.288486,Bhilai,Chhattisgarh,F,57,F43+,优米,3
-8944025272156012275,46149,2016-05-06 13:51:32,77.354858,24.708214,Guna,MadhyaPradesh,M,35,M32-38,Xiaomi,红米note
-8935601063523159896,983953,2016-05-04 10:06:15,75.654549,21.899736,Khargone,MadhyaPradesh,F,24,F24-26,OPPO,R7s
-8932961254498140813,1297210,2016-05-06 21:25:05,77.965424,29.910601,Rurki,Uttaranchal,M,37,M32-38,Samsung,Galaxy S3
-8932276038353934101,10941,2016-05-05 11:18:50,75.894455,22.784349,Indore,MadhyaPradesh,M,25,M23-26,Samsung,Galaxy Note 2
-8931854383907480674,721050,2016-05-02 20:04:41,78.084793,26.541986,Morena,MadhyaPradesh,M,20,M22-,Xiaomi,MI 4
-8925545099596828179,32928,2016-05-04 05:43:08,78.925926,24.817617,Tikamgarh,MadhyaPradesh,F,27,F27-28,OPPO,R1
-8922912282939175700,1567466,2016-05-05 23:10:42,75.540413,32.449837,Kathua,JammuandKashmir,F,34,F33-42,Huawei,荣耀畅玩4X
-8919001446788225133,1701547,2016-05-03 00:25:30,77.82547,23.617125,Vidisha,MadhyaPradesh,M,29,M29-31,Xiaomi,红米2A
-8906501571652845053,14470,2016-05-01 14:51:11,75.891418,22.756632,Indore,MadhyaPradesh,M,54,M39+,Samsung,S7898
-8906406526144922827,154474,2016-05-01 16:04:37,80.267403,21.853083,Balaghat,MadhyaPradesh,M,30,M29-31,Huawei,荣耀6
-8905700163406340256,11578,2016-05-02 12:44:58,75.92926,22.812727,Indore,MadhyaPradesh,M,31,M29-31,vivo,Y627
-8903658645207406025,1140199,2016-05-07 07:59:52,78.066658,26.526772,Morena,MadhyaPradesh,F,34,F33-42,Samsung,Galaxy Nexus
-8903567360335207676,109467,2016-05-05 21:47:10,77.99604,23.922829,Basoda,MadhyaPradesh,F,28,F27-28,OPPO,U705T
-8901665875331568163,1282380,2016-05-05 12:26:04,82.767601,22.445902,Korba,Chhattisgarh,M,23,M23-26,Huawei,荣耀6
-8900063314692503273,131568,2016-05-05 12:25:47,75.089767,23.383289,Ratlam,MadhyaPradesh,M,46,M39+,Huawei,荣耀畅玩4X
-8897455917190145444,321735,2016-05-07 20:59:18,75.244316,33.808895,Anantnag,JammuandKashmir,M,25,M23-26,Samsung,Galaxy Mega 5.8
-8895949000818021836,490997,2016-05-03 01:56:30,81.703217,21.322866,Raipur,Chhattisgarh,F,24,F24-26,vivo,X3L
-8893926820093081415,33803,2016-05-03 06:56:03,75.931343,22.814383,Indore,MadhyaPradesh,M,25,M23-26,OPPO,A51kc
-8890745366961636216,563756,2016-05-01 23:24:50,78.395081,25.923851,Dabra,MadhyaPradesh,F,22,F23-,Xiaomi,红米note增强版
-8890168959160137331,10236,2016-05-02 11:37:16,75.906586,22.742998,Indore,MadhyaPradesh,M,30,M29-31,Xiaomi,MI 1S
-8889465942297402247,272759,2016-05-05 08:13:08,78.828949,26.631836,Bhind,MadhyaPradesh,F,40,F33-42,vivo,Y29L
-8880967516316527683,44026,2016-05-05 12:16:25,80.292549,29.61091,Pithoragarh,Uttaranchal,M,24,M23-26,leEco,超级手机Max
-8879446978327609562,434751,2016-05-06 23:49:16,79.989517,23.183599,JabalpurCantonment,MadhyaPradesh,M,33,M32-38,OPPO,3007
-8877371566098593515,1820919,2016-05-01 08:21:06,76.730553,25.695917,Sheopur,MadhyaPradesh,M,22,M22-,Xiaomi,红米1S
-8857778784063735621,188016,2016-05-03 21:31:21,79.551544,29.30014,Haldwani,Uttaranchal,M,25,M23-26,优语,KDOOR X5-Y12
-8857161661499728975,357055,2016-05-04 13:39:27,75.694603,21.859941,Khargone,MadhyaPradesh,M,64,M39+,vivo,Xperia SL
-8857070265364590135,10702,2016-05-04 11:44:46,75.913849,22.81365,Indore,MadhyaPradesh,F,27,F27-28,Meizu,魅蓝NOTE
-8853673085117990515,11174,2016-05-07 11:40:31,75.87397,22.774994,Indore,MadhyaPradesh,F,25,F24-26,Xiaomi,红米note
-8852515990682117076,209997,2016-05-03 20:48:01,73.816597,15.517794,Mormugao,Goa,M,26,M23-26,Huawei,Mate 7
-8848092041126168049,14033,2016-05-06 13:36:30,75.913025,22.804119,Indore,MadhyaPradesh,M,51,M39+,Samsung,Galaxy S3
-8843046902077492569,169553,2016-05-01 09:45:51,75.241066,33.824265,Anantnag,JammuandKashmir,F,21,F23-,Xiaomi,红米Note2
-8841778954828649256,12849,2016-05-01 13:08:10,75.905251,22.816914,Indore,MadhyaPradesh,M,27,M27-28,Meizu,MX5
-8841479440063719168,44341,2016-05-06 12:13:39,78.961151,22.096273,Chhindwara,MadhyaPradesh,F,26,F24-26,LG,Nexus 4
-8837433484602999418,10834,2016-05-05 11:07:20,75.897072,22.73538,Indore,MadhyaPradesh,M,46,M39+,Huawei,Mate 7
-8832705487745477496,574995,2016-05-02 11:31:04,79.467186,23.939083,Damoh,MadhyaPradesh,M,25,M23-26,OPPO,R1C
-8831093416752024308,11812,2016-05-03 12:09:43,75.873161,22.792219,Indore,MadhyaPradesh,F,34,F33-42,Meizu,魅蓝metal
-8830152296328257680,1882998,2016-05-03 13:56:18,73.873459,15.583724,Panaji,Goa,F,28,F27-28,Meizu,魅蓝NOTE
-8827542705300678691,1900289,2016-05-07 13:10:05,81.588356,20.734056,Dhamtari,Chhattisgarh,M,19,M22-,Huawei,荣耀3C
-8825886058124894671,14281,2016-05-07 13:03:23,75.912857,22.759462,Indore,MadhyaPradesh,F,63,F43+,Samsung,Galaxy Note 2
-8819878702459747129,14750,2016-05-03 14:20:03,75.911697,22.771061,Indore,MadhyaPradesh,M,28,M27-28,OPPO,R7s
-8808132407616349440,10949,2016-05-05 11:13:49,75.902885,22.741369,Indore,MadhyaPradesh,M,49,M39+,Xiaomi,F105
-8805128504833175548,88239,2016-05-05 07:15:55,78.393906,25.98745,Dabra,MadhyaPradesh,M,23,M23-26,OPPO,1107
-8804138957870305351,265463,2016-05-07 22:29:11,77.974098,21.966694,Betul,MadhyaPradesh,F,57,F43+,Meizu,MX3
-8791144813952779058,10375,2016-05-03 11:16:44,75.938972,22.736822,Indore,MadhyaPradesh,M,27,M27-28,Xiaomi,MI 3
-8790840836060235990,10284,2016-05-02 11:03:02,75.879883,22.743633,Indore,MadhyaPradesh,M,30,M29-31,OPPO,N1 Mini
-8789447814928150824,192237,2016-05-06 05:39:25,73.826546,15.523879,Panaji,Goa,F,30,F29-32,Samsung,Galaxy Note 2
-8789090718760374469,236465,2016-05-04 21:22:29,73.793579,15.452601,Mormugao,Goa,F,21,F23-,米歌,M201S
-8781524713151456267,13066,2016-05-02 13:49:47,75.91111,22.805996,Indore,MadhyaPradesh,F,50,F43+,Samsung,Galaxy Note 3
-8780112379712231689,14758,2016-05-03 14:31:10,75.903938,22.796509,Indore,MadhyaPradesh,M,22,M22-,Xiaomi,小米4C
-8770166670389218779,11984,2016-05-04 12:34:47,75.893372,22.777922,Indore,MadhyaPradesh,M,25,M23-26,Samsung,乐檬K3 Note
-8769062425317786820,1774213,2016-05-04 13:55:43,78.313873,30.170078,Rishikesh,Uttaranchal,M,37,M32-38,Xiaomi,红米note
-8766233705836641728,28501,2016-05-05 23:51:01,77.613708,23.188295,Mandidip,MadhyaPradesh,M,25,M23-26,vivo,X5Max+
-8766092401937055806,14846,2016-05-04 14:28:26,75.909355,22.735708,Indore,MadhyaPradesh,F,24,F24-26,vivo,X3V
-8754923257059791519,153402,2016-05-02 15:12:55,77.570518,23.173489,Mandidip,MadhyaPradesh,M,38,M32-38,Meizu,魅蓝Note 2
-8753663528859427553,105351,2016-05-02 16:40:37,78.046844,30.371489,DehraDunCantonment,Uttaranchal,F,23,F23-,Huawei,荣耀3C
-8750176585119350520,164091,2016-05-01 05:45:37,75.088844,23.420305,Ratlam,MadhyaPradesh,F,24,F24-26,OPPO,R7
-8738891133391106114,13706,2016-05-05 13:31:30,75.888428,22.73069,Indore,MadhyaPradesh,F,27,F27-28,Huawei,荣耀3C
-8735470501662413337,13880,2016-05-05 13:16:35,75.945549,22.785728,Indore,MadhyaPradesh,F,21,F23-,Xiaomi,红米1S
-8730233419324655219,548798,2016-05-06 09:59:51,75.450096,23.534704,Nagda,MadhyaPradesh,F,23,F23-,Samsung,W2015
-8725135028561362186,11411,2016-05-01 12:15:36,75.878464,22.773102,Indore,MadhyaPradesh,M,40,M39+,Coolpad,F2
-8717087093209638168,11261,2016-05-07 11:03:17,75.871956,22.814901,Indore,MadhyaPradesh,F,26,F24-26,Samsung,Galaxy S2
-8705653244529492106,13182,2016-05-02 13:45:05,75.876404,22.756931,Indore,MadhyaPradesh,M,24,M23-26,HTC,Desire 816
-8704177118633236038,25971,2016-05-01 22:32:45,94.127419,25.716894,Kohima,Nagaland,M,23,M23-26,Xiaomi,MI 2S
-8700558288923927416,27494,2016-05-07 22:08:01,75.133698,24.165182,Mandsaur,MadhyaPradesh,M,30,M29-31,Samsung,Galaxy Note 3
-8700386357584360502,25337,2016-05-05 21:20:33,73.822525,15.436396,Mormugao,Goa,M,43,M39+,Samsung,乐檬K3 Note
-8698958812107603464,10520,2016-05-04 11:13:37,75.876205,22.734974,Indore,MadhyaPradesh,M,26,M23-26,Meizu,魅蓝Note 2
-8687184140727148948,137136,2016-05-02 17:48:44,81.432098,23.316769,Shahdol,MadhyaPradesh,F,44,F43+,TCL,么么哒3N
-8686265372881094389,13217,2016-05-03 12:57:23,75.910393,22.752647,Indore,MadhyaPradesh,F,25,F24-26,Xiaomi,MI 2S
-8682837735890252064,12825,2016-05-01 13:56:24,75.953255,22.744331,Indore,MadhyaPradesh,M,38,M32-38,Xiaomi,MI 4
-8677393408439191444,207397,2016-05-05 16:59:09,79.463066,23.883505,Damoh,MadhyaPradesh,M,26,M23-26,Xiaomi,小米note
-8677364570947678294,535188,2016-05-05 21:42:56,81.305122,21.231369,Durg,Chhattisgarh,M,42,M39+,OPPO,Find 5
-8671498412077945061,869817,2016-05-04 13:52:50,81.472588,21.294903,Bhilai,Chhattisgarh,F,32,F29-32,Samsung,Galaxy Grand Prime
-8668435756528084398,234508,2016-05-01 20:27:52,81.566093,20.75601,Dhamtari,Chhattisgarh,M,24,M23-26,Samsung,Galaxy J5
-8667834927916845240,1479725,2016-05-06 14:27:58,80.419579,23.939825,Murwara,MadhyaPradesh,M,24,M23-26,Samsung,Galaxy Grand 2
-8663875031308458597,11234,2016-05-07 11:30:33,75.931862,22.801205,Indore,MadhyaPradesh,M,43,M39+,Coolpad,8702D
-8662001269581595453,10724,2016-05-05 11:10:55,75.887375,22.817102,Indore,MadhyaPradesh,M,31,M29-31,Xiaomi,MI 3
-8652617425397381932,23972,2016-05-05 20:14:10,81.407204,21.281891,Bhilai,Chhattisgarh,M,48,M39+,Meizu,MX4
-8650155470367212157,981109,2016-05-03 08:14:27,77.153152,23.270548,Sehore,MadhyaPradesh,M,53,M39+,Meizu,MX4 Pro
-8647434692541379732,12964,2016-05-01 13:49:44,75.958458,22.775633,Indore,MadhyaPradesh,F,35,F33-42,vivo,Y13L
-8639050201521259945,289666,2016-05-06 21:06:25,75.789291,22.587034,Mau,MadhyaPradesh,M,47,M39+,Coolpad,F2
-8637120944508622447,183978,2016-05-03 19:30:04,75.505791,23.545977,Nagda,MadhyaPradesh,M,37,M32-38,vivo,Y11
-8631711986149382942,76450,2016-05-02 09:29:20,79.640083,22.137024,Seoni,MadhyaPradesh,F,54,F43+,Xiaomi,红米note
-8630301921846095669,22724,2016-05-07 19:18:25,81.410744,23.343218,Shahdol,MadhyaPradesh,M,30,M29-31,HTC,One max
-8618280809389269128,11452,2016-05-01 12:29:49,75.932388,22.788902,Indore,MadhyaPradesh,M,29,M29-31,Samsung,Galaxy Trend 3
-8611988641245958534,202430,2016-05-02 13:27:10,81.439774,21.300467,Bhilai,Chhattisgarh,M,24,M23-26,Coolpad,7275
-8605065975987639672,2055761,2016-05-05 15:19:18,80.450539,23.867533,Murwara,MadhyaPradesh,M,26,M23-26,Xiaomi,MI 1S
-8603750615737451018,99284,2016-05-03 13:52:11,81.576973,21.314522,Charoda,Chhattisgarh,M,22,M22-,Meizu,MX4
-8601232091637467202,544941,2016-05-01 08:42:45,78.126221,30.37145,DehraDun,Uttaranchal,M,59,M39+,Samsung,SHV-E210L
-8599383878807045594,11254,2016-05-07 10:56:54,75.956161,22.781937,Indore,MadhyaPradesh,F,34,F33-42,Huawei,Mate 8
-8598921802016822459,10146,2016-05-01 11:02:58,75.871193,22.780331,Indore,MadhyaPradesh,F,23,F23-,Samsung,Galaxy S5
-8594724482694554031,12999,2016-05-02 13:07:41,75.90461,22.761452,Indore,MadhyaPradesh,M,26,M23-26,Xiaomi,红米
-8588321404722684329,11316,2016-05-01 12:05:17,75.940712,22.805277,Indore,MadhyaPradesh,M,21,M22-,努比亚,Z9 Max
-8587802170837999452,82706,2016-05-02 07:47:44,78.287628,22.138121,Sarni,MadhyaPradesh,F,38,F33-42,OPPO,R3
-8586371273421114180,37594,2016-05-07 08:04:44,78.267097,26.328632,Gwalior,MadhyaPradesh,F,20,F23-,OPPO,R1C
-8586175051166282356,10366,2016-05-03 11:44:41,75.928024,22.734373,Indore,MadhyaPradesh,F,41,F33-42,Xiaomi,MI 2S
-8585819139228391502,13698,2016-05-05 13:41:19,75.919243,22.76487,Indore,MadhyaPradesh,F,25,F24-26,Huawei,Mate
-8584134331889835830,13119,2016-05-02 13:07:43,75.929214,22.775249,Indore,MadhyaPradesh,F,27,F27-28,Samsung,Galaxy Note 3
-8582482049661606960,508216,2016-05-01 17:29:44,75.918953,22.77854,Indore,MadhyaPradesh,M,22,M22-,联想 ,V818
-8578352318070038847,85707,2016-05-06 12:58:18,76.758621,25.749508,Sheopur,MadhyaPradesh,M,44,M39+,Huawei,荣耀3X畅玩版
-8575112286398915606,12892,2016-05-01 13:50:08,75.920296,22.805918,Indore,MadhyaPradesh,F,40,F33-42,Xiaomi,红米1S
-8573527463703396974,1457246,2016-05-05 17:26:51,78.994499,29.271255,Kashipur,Uttaranchal,M,28,M27-28,Coolpad,F2
-8561933307104367822,14041,2016-05-06 13:34:06,75.932846,22.766554,Indore,MadhyaPradesh,M,37,M32-38,Huawei,荣耀畅玩4X
-8559403114210267812,837483,2016-05-01 08:49:54,79.611832,22.128319,Seoni,MadhyaPradesh,M,27,M27-28,Coolpad,7295C
-8557304753248466151,14902,2016-05-04 14:19:27,75.954399,22.760054,Indore,MadhyaPradesh,M,37,M32-38,Coolpad,5892
-8552278802939132943,40999,2016-05-07 10:20:24,75.227242,32.941628,Udhampur,JammuandKashmir,M,34,M32-38,Samsung,Galaxy Note 4
-8540748881461159566,79761,2016-05-05 11:07:44,74.879631,34.125092,Srinagar,JammuandKashmir,F,60,F43+,Xiaomi,红米2
-8537198717728481902,48639,2016-05-04 15:27:54,75.168854,32.980442,Udhampur,JammuandKashmir,F,24,F24-26,Samsung,Galaxy S3
-8530352183215408878,14765,2016-05-03 14:32:58,75.938553,22.758984,Indore,MadhyaPradesh,M,20,M22-,vivo,X3T
-8526063503608252099,11811,2016-05-03 12:09:24,75.935242,22.775696,Indore,MadhyaPradesh,F,20,F23-,Samsung,Galaxy S4
-8523341598667719761,43378,2016-05-02 11:58:50,78.535759,25.746853,Datia,MadhyaPradesh,M,29,M29-31,Coolpad,F2
-8516174944156742424,460124,2016-05-01 21:30:10,78.062973,30.414165,DehraDun,Uttaranchal,F,25,F24-26,Samsung,Galaxy Mega Plus
-8514893938404519939,232221,2016-05-04 18:23:43,78.029274,26.567797,Morena,MadhyaPradesh,M,28,M27-28,OPPO,U707T
-8511716511465654557,13798,2016-05-05 13:39:06,75.900528,22.799829,Indore,MadhyaPradesh,M,24,M23-26,Samsung,Galaxy Note 2
-8508195238805922213,46790,2016-05-02 14:02:15,81.892395,24.509964,Sidhi,MadhyaPradesh,M,24,M23-26,Meizu,魅蓝2
-8506235652949718755,12027,2016-05-04 12:02:26,75.893135,22.819767,Indore,MadhyaPradesh,M,23,M23-26,优语,KDOOR X5-Y12
-8501639358626070956,13794,2016-05-05 13:06:21,75.874695,22.748468,Indore,MadhyaPradesh,M,35,M32-38,OPPO,R3
-8500533801369577972,14428,2016-05-01 14:59:03,75.951462,22.7719,Indore,MadhyaPradesh,F,31,F29-32,OPPO,R817
-8499783135170330306,184079,2016-05-03 19:05:09,79.030357,22.15913,Chhindwara,MadhyaPradesh,F,36,F33-42,Xiaomi,MI 4
-8494349511781250643,14702,2016-05-03 14:06:10,75.903107,22.740795,Indore,MadhyaPradesh,M,32,M32-38,Coolpad,大神F1
-8492188971073783970,131686,2016-05-06 12:28:33,78.247459,24.278271,BinaEtawa,MadhyaPradesh,M,27,M27-28,Samsung,Galaxy Mega 5.8
-8490795397172819096,94652,2016-05-07 07:23:40,75.537331,32.459473,Kathua,JammuandKashmir,M,26,M23-26,Xiaomi,MI 2S
-8489719655958674953,74393,2016-05-06 07:25:05,75.104012,24.099882,Mandsaur,MadhyaPradesh,M,21,M22-,Samsung,S898t
-8485486012986553301,362062,2016-05-07 20:12:10,77.168259,23.282934,Sehore,MadhyaPradesh,M,30,M29-31,Huawei,麦芒3
-8483493530530967993,270209,2016-05-04 06:46:57,77.421852,23.324997,Bhopal,MadhyaPradesh,M,25,M23-26,Samsung,I9050
-8469609588260229483,10189,2016-05-02 11:40:14,75.944176,22.806376,Indore,MadhyaPradesh,F,42,F33-42,OPPO,1107
-8464427192243272379,14162,2016-05-07 13:27:57,75.945976,22.747196,Indore,MadhyaPradesh,F,55,F43+,vivo,X1ST
-8454771594966218929,10926,2016-05-05 11:29:52,75.922318,22.757807,Indore,MadhyaPradesh,M,34,M32-38,Coolpad,5890
-8453742119537288070,770745,2016-05-07 14:49:22,79.646652,22.173504,Seoni,MadhyaPradesh,M,44,M39+,Xiaomi,红米
-8449973358783152230,388474,2016-05-06 21:44:01,77.976814,23.891087,Basoda,MadhyaPradesh,M,29,M29-31,Xiaomi,MI 3
-8445035335023252932,10734,2016-05-05 11:28:17,75.893822,22.743483,Indore,MadhyaPradesh,M,33,M32-38,OPPO,R815T
-8440630265709278361,12555,2016-05-06 12:32:30,75.91095,22.792974,Indore,MadhyaPradesh,M,28,M27-28,努比亚,Z5S Mini
